commune_nom,INSEE,pop,donnesgeo,area,elevation,blason
Saint-Servant,56236,811,Point(-2.5121 47.91524),22.4,70,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Saint%20Servant%20sur%20Oust.jpg
Saint-Servant,56236,811,Point(-2.512777777 47.915277777),22.4,70,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Saint%20Servant%20sur%20Oust.jpg
Évriguet,56056,181,Point(-2.411388888 48.078888888),4.98,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Evriguet%20%28Morbihan%29.svg
Treffléan,56255,2324,Point(-2.613055555 47.681388888),18.26,85,http://commons.wikimedia.org/wiki/Special:FilePath/BlasonTrefflean.svg
L'Haÿ-les-Roses,94038,31204,Point(2.337222222 48.779166666),3.9,63,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Ha%C3%BF-les-Roses%2094.svg
Ploeren,56164,6575,Point(-2.866666666 47.656111111),20.44,21,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Ploeren.svg
Le Cours,56045,670,Point(-2.501388888 47.741666666),15.63,87,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20Cours%20%28Morbihan%29.svg
Saint-Maurice-Thizouaille,89361,263,Point(3.361944444 47.833888888),1.95,148,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Saint-Maurice-Thizouaille%20%28Yonne%29.svg
Pleucadeuc,56159,1804,Point(-2.37362 47.75876),34.56,70,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pleucadeuc%20%28Morbihan%29.svg
Pleucadeuc,56159,1804,Point(-2.375833333 47.758888888),34.56,70,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pleucadeuc%20%28Morbihan%29.svg
Quiberon,56186,4741,Point(-3.11963 47.48412),8.83,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20quiberon.svg
